"product_id";"name";"required_initial";"Nombre Corregido";"Precio Estimado (USD)";"Descripcion"
77;"HILO TINTURADO BLANCO NEGRO";0;"Hilo Tinturado para Diseño de Cejas (Blanco/Negro)";"5.00";"Hilo pre-entintado en color blanco o negro para el diseño de cejas (brow mapping)."
78;"LAMPARA MINIHUEVITO 6W";0;"Mini Lámpara LED para Uñas 6W (Forma de Huevo)";"5.00";"Lámpara de curado LED muy pequeña y portátil de 6 vatios, con forma de huevo."
79;"PINCEL LAINES MANGO PLASTICO";0;"Pincel Liner para Nail Art (Mango de Plástico)";"1.50";"Pincel para delinear (liner) con mango de plástico, de bajo costo."
80;"GEL CONSTRUCCION";0;"Gel de Construcción (Builder Gel)";"12.00";"Gel constructor utilizado para crear extensiones de uñas, dar volumen y reforzar la uña natural."
81;"PINCEL #30 KALUSKY";0;"Pincel para Acrílico Kolinsky #30";"20.00";"Pincel de pelo natural Kolinsky, número 30, de alta calidad para la aplicación de acrílico."
82;"CORTACUTICULAS";12;"Cortacutículas";"2.00";"Herramienta metálica para cortar el exceso de cutícula."
83;"TINTE CABELLO";0;"Tinte para Cabello (Color Variado)";"6.00";"Tubo de tinte para la coloración permanente o semipermanente del cabello."
84;"POLVO ACRILICO TIFFANY";0;"Polvo Acrílico Tiffany (Color Variado)";"4.00";"Polvo acrílico de la marca Tiffany para la construcción de uñas."
85;"CORTACUTICULAS ARCOIRIS";3;"Cortacutículas (Acabado Tornasol)";"3.00";"Cortacutículas con un acabado metálico tornasolado, tipo arcoíris."
86;"TIJERA CORTE BARRILITO";0;"Tijera de Corte Barrilito";"10.00";"Tijera de peluquería de la marca Barrilito, conocida por su calidad profesional."
87;"UñAS TIFFANY COFFE";8;"Tips para Uñas Tiffany (Forma Coffin)";"10.00";"Caja con tips de uña postiza de la marca Tiffany, con forma 'coffin'."
88;"BROCHA TAQUERA BARBERIA";2;"Brocha Taquera para Barbería";"5.00";"Brocha ancha y suave, similar a una brocha de maquillaje grande, para retirar el pelo cortado."
89;"ESMALTE CONVENCIONAL";4;"Esmalte de Uñas Convencional";"2.00";"Esmalte de uñas tradicional de secado al aire."
90;"POLIGEL ACRILICO";6;"Polygel Acrílico";"10.00";"Híbrido entre gel y acrílico que ofrece una aplicación moldeable y sin olor fuerte."
91;"POLVO ESPEJO A";4;"Polvo Efecto Espejo (Chrome Powder)";"3.00";"Polvo de cromo ultra fino que se frota sobre el esmalte para crear un acabado metálico tipo espejo."
92;"BASE MAXGLOW 10";2;"Base Coat Maxglow (10 ml)";"4.00";"Capa base de la marca Maxglow en presentación de 10 ml."
93;"cejas";10;"Kit para Cejas";"5.00";"Set que puede incluir sombras, cera, pinzas y brochas para el diseño de cejas."
94;"GORRO ALUMINIO";8;"Gorro Térmico de Aluminio";"1.50";"Gorro de aluminio desechable que utiliza el calor corporal para potenciar tratamientos capilares."
95;"FLORES TINTA RESINA";3;"Flores de Tinta en Resina para Uñas";"3.50";"Decoraciones para uñas que consisten en pequeñas flores encapsuladas en resina."
96;"PALETA MADERA CURVA GRANDE";5;"Paleta de Madera para Depilar (Grande, Curva)";"1.00";"Paleta de madera grande y con forma curva para aplicar cera depilatoria en áreas extensas del cuerpo."
97;"GEL 5 EN 1";7;"Gel para Uñas 5 en 1";"8.00";"Gel multifuncional que puede servir como base, constructor, reforzador, top coat, etc."
98;"PINZA POLIGEL CRISTAL";9;"Pinza para Moldes Dual System (Transparente)";"2.00";"Pinza o clip transparente para mantener el molde dual presionado sobre la uña mientras se cura el polygel."
99;"ESMALTE LINER NAIL ART MAXGLOW 8ML UNICA";6;"Esmalte Liner Maxglow (8 ml)";"3.00";"Esmalte de la marca Maxglow con un pincel fino y largo incorporado, para hacer líneas y diseños."
100;"ESMALTE MAXGLOW DIAMOND CAT EYE MAXGLOW 10ML (PLATEADO) UNICA";8;"Esmalte Maxglow Diamond Cat Eye (10 ml, Plateado)";"5.50";"Esmalte magnético de Maxglow con partículas de glitter que crean un efecto 'ojo de gato' con acabado de diamante."
101;"ESMALTE SEM DREAM CAT EYE 10ML ñNICA";1;"Esmalte Semipermanente Dream Cat Eye (10 ml)";"5.00";"Esmalte semipermanente magnético con efecto 'ojo de gato' en tonos de ensueño."
102;"ESMALTE SEM UNICORN MAGIC 10ML UNILA";5;"Esmalte Semipermanente Unicorn Magic (10 ml)";"5.00";"Esmalte semipermanente con acabado iridiscente o con glitter que evoca la temática de unicornio."
103;"ESMALTE SEMIPERMANENTE SUGAR MAXGLOW 10ML ñNICA";10;"Esmalte Semipermanente Maxglow (Efecto Azúcar)";"4.50";"Esmalte semipermanente de Maxglow con una textura arenosa o granulada que imita el azúcar."
104;"ESMALTE MAXGLOW MERMAID 10ML UNDEFINED UNICA";1;"Esmalte Semipermanente Maxglow (Colección Mermaid)";"5.00";"Esmalte de la colección 'Sirena' de Maxglow, probablemente con tonos y acabados inspirados en el mar."
105;"ESMALTE SEMIPERMANENTE MAXGLOW 10ML UNICA";59;"Esmalte Semipermanente Maxglow (10 ml)";"4.00";"Esmalte de uñas en gel de la marca Maxglow que requiere curado en lámpara UV/LED."
106;"UñAS COFFIN UNICA X500";1;"Tips para Uñas (Forma Coffin) - Caja 500 uds";"10.00";"Caja con 500 tips de uña postiza preformados con el estilo 'coffin' (ataúd)."
107;"UñAS CURVA CLEAR X500";3;"Tips para Uñas (Curva C, Transparentes) - Caja 500 uds";"10.00";"Caja con 500 tips de uña postiza transparentes con una pronunciada 'Curva C'."
108;"PROTEIN BOND MAXGLOW 15ML ñNICA";3;"Protein Bond Maxglow (15 ml)";"3.50";"Preparador de la marca Maxglow que garantiza la adherencia de acrílico o esmaltes."
109;"RUBBER BASE GEL MAXGLOW 10ML ñNICA";3;"Base Rubber Maxglow (10 ml)";"12.00";"Base de gel (rubber base) de la marca Maxglow, de consistencia espesa para aportar resistencia."
110;"TINTE CABELLO MAXGLOW CON AGUA OXIGENADA 100ML ñNICA";4;"Kit de Tinte para Cabello Maxglow (100 ml)";"7.00";"Paquete que incluye un tubo de tinte de 100 ml de la marca Maxglow y una botella de agua oxigenada."
111;"ESTERILIZADOR GDE NV-210 ñNICA";1;"Esterilizador de Calor Seco NV-210";"40.00";"Esterilizador profesional que utiliza calor seco para desinfectar herramientas metálicas de manicura y peluquería."
112;"POLVO ACRILICO MAXGLOW POP COLOR 10Z ñNICA";5;"Polvo Acrílico Maxglow Pop Color (1 oz)";"5.00";"Polvo acrílico de la colección 'Pop Color' de Maxglow, en presentación de 1 onza, con colores vibrantes."
113;"PEGA PESTANA SALON PRO ñNICA";1;"Pegamento para Pestañas Salon Pro";"4.00";"Adhesivo de la marca Salon Pro para pegar pestañas postizas en tira o individuales."
114;"PINCEL LINER ESC X3 ñNICA";2;"Set de 3 Pinceles Liner para Nail Art";"2.50";"Paquete que contiene 3 pinceles finos y largos para nail art, de diferentes longitudes."
115;"REPUJADOR DOBLE FILO ñNICA ñNICA";1;"Empujador de Cutícula (Doble Filo)";"3.00";"Herramienta de manicura con dos extremos funcionales para trabajar la cutícula."
116;"CUADERNO BABY SECRET";0;"Cuaderno Pequeño 'Baby Secret'";"1.00";"Libreta pequeña, posiblemente con temática infantil."
117;"CUADERNO INFANTI 100H";0;"Cuaderno Infantil (100 Hojas)";"2.00";"Cuaderno de 100 hojas con diseño infantil."
118;"LIGUITA PARA CABELLO GRUESO";0;"Ligas para Cabello (Gruesas)";"1.00";"Paquete de ligas elásticas gruesas y resistentes para sujetar el cabello."
119;"CARTUCHERA DE NIñO";0;"Cartuchera Infantil";"3.00";"Estuche para lápices y útiles escolares con diseño para niños."
120;"ACETONA VALMY ORIGINAL";0;"Quitaesmalte Valmy";"2.50";"Removedor de esmalte de la marca Valmy."
121;"ESPEJO TIPO MANZANA";0;"Espejo de Bolsillo (Forma de Manzana)";"1.50";"Espejo compacto para cartera con forma de manzana."
122;"JUGUETE BARBIE 822";0;"Juguete tipo Barbie (Modelo 822)";"5.00";"Muñeca tipo Barbie, modelo genérico 822."
123;"PRESERVATIVO DUO";0;"Preservativos Duo";"2.00";"Caja de preservativos de la marca Duo."
124;"FINISH GEL";0;"Finish Gel (Top Coat) (Duplicado)";"7.50";"Capa final o sellador para esmaltado en gel, que proporciona un acabado brillante y duradero."
125;"TOP COAT M&Y 15ML";0;"Top Coat M&Y (15 ml)";"4.00";"Capa final (sellador) de la marca M&Y en presentación de 15 ml."
126;"PINTURA UñA NAILEM";0;"Esmalte de Uñas Nailem";"1.50";"Esmalte de uñas convencional de la marca Nailem."
127;"PESTAñA CORRIDO 3D MAG";0;"Pestañas Postizas 3D (Tira Completa)";"2.50";"Pestañas postizas en tira con un efecto tridimensional (3D) para mayor volumen y profundidad."
128;"ESPONJA PARA BASE";0;"Esponja de Maquillaje para Base";"1.00";"Esponja tipo 'beauty blender' para aplicar base de maquillaje de forma uniforme."
129;"PINZA DE PELUQUERA X 12 PCS";0;"Pinzas de Peluquería (Paquete 12 uds)";"4.00";"Paquete de 12 pinzas para sujetar secciones de cabello."
130;"SET DE PAPEL COLORES X12";0;"Set de Papel Foil de Colores (12 uds)";"4.00";"Paquete con 12 láminas de papel foil en diferentes colores para decoración de uñas."
131;"SWAROVSKI UNICOLOR MY I440";0;"Cristales Swarovski Unicolor M&Y (1440 uds)";"10.00";"Paquete de 1440 cristales de imitación Swarovski de un solo color, de la marca M&Y."
132;"RIMEL COLOSAL";0;"Máscara de Pestañas 'Colossal'";"3.50";"Máscara de pestañas que promete dar un volumen extremo, estilo 'Colossal'."
133;"RIMEL FLOMROR";0;"Máscara de Pestañas Flormar";"4.00";"Máscara de pestañas de la marca Flormar."
134;"BRILLO DE FRESA NARANJA";0;"Brillo Labial (Aroma Fresa/Naranja)";"1.00";"Brillo para labios con sabor o aroma a fresa o naranja."
135;"MARCADOR BLANCO HAVESBEAUTY";0;"Marcador Blanco para Uñas Havesbeauty";"2.00";"Marcador con punta fina y tinta blanca para realizar diseños de nail art, como la punta francesa."
136;"CEPILLO PARA CEJA DORADO";0;"Cepillo para Cejas (Dorado)";"1.50";"Cepillo tipo 'spoolie' para peinar y dar forma a las cejas, con mango dorado."
137;"MONOMERO 60ML EZFLOW";0;"Monómero EzFlow (60 ml)";"7.00";"Líquido acrílico de la marca EzFlow en presentación de 60 ml."
138;"AGUA OXIGENA KARLLY 120 ML";0;"Agua Oxigenada Karlly (120 ml)";"2.00";"Revelador en crema (peróxido) de la marca Karlly en presentación de 120 ml."
139;"LAPIZ CEJA POR PAQUETE";0;"Lápiz de Cejas (Paquete)";"3.00";"Venta de lápices de cejas en paquete de varias unidades."
140;"LAPIZ CEJA CEPILLO";0;"Lápiz de Cejas con Cepillo";"1.50";"Lápiz delineador para cejas que incluye un cepillo 'spoolie' en el otro extremo."
141;"POLVO DE HADAS";0;"Glitter Corporal (Polvo de Hadas)";"2.50";"Polvo de glitter fino para aplicar en el cuerpo, cabello o rostro."
142;"POLVO NAHIN CON/ESP";0;"Polvo Compacto Nahin con Espejo";"3.00";"Polvo facial compacto de la marca Nahin que incluye un espejo en su estuche."
143;"POLVO MAO";0;"Polvo Compacto Mao";"2.50";"Polvo facial compacto de la marca Mao."
144;"JABON BLANQUEADOR INT";0;"Jabón Blanqueador Íntimo";"4.00";"Jabón formulado para aclarar la piel en zonas íntimas."
145;"CREMA BLANQUEADOR PIE Y MANO";0;"Crema Blanqueadora para Manos y Pies";"5.00";"Crema formulada para aclarar manchas en la piel de manos y pies."
146;"RUBOR HIR BLUSH";0;"Rubor 'Highlighter Blush'";"3.00";"Rubor que contiene partículas iluminadoras para dar color y brillo a las mejillas."
147;"PALETA DE SOMBRAS";0;"Paleta de Sombras para Ojos";"8.00";"Estuche que contiene múltiples tonos de sombras de ojos."
148;"ESPEJO DE COCHINITO";0;"Espejo de Bolsillo (Forma de Cerdito)";"2.00";"Espejo compacto para cartera con forma de cerdito."
149;"CORRECTOR OJERA";0;"Corrector de Ojeras";"2.50";"Corrector de maquillaje formulado para cubrir la pigmentación oscura debajo de los ojos."
150;"RUBOR ILUMINADOR G186A";0;"Rubor Iluminador (Modelo G186A)";"3.00";"Rubor con iluminador, modelo genérico G186A."
151;"RUBOR SEVENCOOL";0;"Rubor Sevencool";"3.50";"Rubor de la marca Sevencool."
152;"PINTURA LABIAL LIP STICK";0;"Lápiz Labial (Lipstick)";"2.00";"Barra de labios de color."
153;"BASE FLIME";0;"Base de Maquillaje 'Fit Me'";"5.00";"Base de maquillaje, probablemente imitación de la línea 'Fit Me' de Maybelline."
154;"TINTA DE LABIO BARQUILLA";0;"Tinta de Labios (Envase de Barquilla)";"2.00";"Tinta para labios de larga duración en un envase con forma de cono de helado."
155;"TINTA DE LABIO CORAZON LOVE";0;"Tinta de Labios (Envase de Corazón)";"2.00";"Tinta para labios en un envase con forma de corazón."
156;"COMBO PERFUME MINI 40ML";0;"Combo de Mini Perfumes (40 ml)";"10.00";"Set que incluye varios perfumes en formato de viaje de 40 ml."
157;"PERMUME ONLI YOU";0;"Perfume 'Only You'";"8.00";"Perfume, probablemente imitación o inspirado en 'Only You'."
158;"SOMBRA CEJAS BEAUTY X3TONOS";0;"Sombra para Cejas Beauty (3 Tonos)";"3.00";"Kit de sombras para cejas de la marca 'Beauty' que incluye tres tonalidades para un acabado natural."
