"Producto","Precio Estimado (USD)","Descripcion"
"MONOMEROS 50 ML EMA","5.00","Líquido acrílico (metacrilato de etilo) en presentación de 50 ml, componente esencial para esculpir uñas acrílicas."
"MONOMEROS 100 ML EMA","9.00","Líquido acrílico (metacrilato de etilo) en presentación de 100 ml para la construcción de uñas acrílicas."
"LIMPIA PINCEL","4.50","Solución líquida diseñada para limpiar y acondicionar los pinceles de acrílico y gel, eliminando residuos y prolongando su vida útil."
"SALOM PRO PEGA","2.00","Pegamento de uso profesional de la marca Salom, probablemente para tips o decoraciones de uñas."
"PEGA ACRILICA BRUSH ON","2.50","Adhesivo para uñas con aplicador de brocha, ideal para pegar tips, strass y realizar reparaciones rápidas."
"CAJAS DE PAPEL ORO /12 UND PLATEADO-DORADO","4.00","Set de 12 cajas de láminas finas de papel metalizado (oro y plata) para decoración de uñas y otras manualidades."
"ACRILICOS BLOSOOM MAXGLOW","4.00","Polvo acrílico de la colección 'Blossom' de Maxglow, probablemente con tonalidades florales o efectos especiales."
"ACRILICOS BLUSH MAXGLOW","4.00","Polvo acrílico de Maxglow en un tono 'Blush' (rubor), ideal para bases de uñas con apariencia natural."
"ACRILICOS CORAL MAXGLOW","4.00","Polvo acrílico de Maxglow en tono coral, para la construcción de uñas con un color vibrante."
"ACRILICOS PINK MAXGLOW","4.00","Polvo acrílico de Maxglow en un tono rosado clásico para la construcción de uñas."
"ACRILICOS CLEAR MAXGLOW","4.00","Polvo acrílico transparente de Maxglow, utilizado para encapsular decoraciones y para la base de la uña."
"ACRILICOS POR CAJAS","25.00","Venta de polvos acrílicos en formato de caja o kit, conteniendo múltiples colores o una cantidad mayor."
"ACRILICOS CON COLA DE SIRENA","5.00","Polvo acrílico premezclado con glitter hexagonal o iridiscente que imita las escamas de una cola de sirena."
"POLIGEL MAXGLOW","10.00","Híbrido entre gel y acrílico de la marca Maxglow, que ofrece una aplicación moldeable y sin olor fuerte."
"POLIGEL MOMBRAY","10.00","Gel de construcción de la marca Mombray, con una fórmula similar al polygel para esculpir uñas."
"LIQUIDO PARA POLIGEL","5.50","Solución (Slip Solution) que facilita el moldeo y la aplicación del polygel, evitando que se pegue al pincel."
"GEL SOLIDO JELLY BUILDER","13.00","Gel constructor de alta viscosidad que no se autonivela, permitiendo esculpir y dar forma con más control."
"BUILDING GELL","12.00","Gel constructor utilizado para crear extensiones de uñas, dar volumen y reforzar la uña natural."
"ESPUMA PARA PESTAÑAS","7.00","Limpiador en espuma (lash shampoo) para higienizar las extensiones de pestañas y el área de los ojos."
"PIN","1.50","Horquillas o pasadores metálicos para sujetar el cabello durante peinados o tratamientos."
"PESTAÑAS PELO A PELO NEGRO","5.00","Set de pestañas individuales de color negro para la técnica de extensión de pestañas pelo a pelo."
"PESTAÑAS PELO A PELO COLORES","6.00","Set de pestañas individuales en diversos colores para crear looks de fantasía con extensiones."
"GORROS TERMICOS","4.00","Gorro de aluminio o eléctrico que genera calor para potenciar el efecto de tratamientos capilares como mascarillas."
"EFECTO LUZ DE LUNA","2.50","Polvo fino o pigmento para uñas que crea un acabado iridiscente o perlado, similar al reflejo de la luna."
"PEINES CARBON","3.00","Peines fabricados con fibra de carbono, conocidos por ser antiestáticos, resistentes al calor y muy duraderos."
"CORTACUTICULAS K","2.00","Herramienta metálica pequeña, probablemente de la marca 'K', para cortar el exceso de cutícula."
"PINCEL DE MADERA","2.50","Pincel para nail art o aplicación de acrílico con mango de madera."
"BROCHAS DE BARBEROS","5.00","Brocha, usualmente con cerdas suaves, utilizada por barberos para sacudir el cabello cortado del cuello y la cara."
"PINCEL ALTO RELIEVE","3.50","Pincel especial, usualmente fino y largo, para la técnica de 'nail art' en 3D o alto relieve."
"GOTAS MAGICAS ROSADAS","4.00","Líquido, posiblemente un secante rápido o un abrillantador para el esmalte de uñas, con un color rosado."
"TIJERA MANGO NEGRO","3.00","Tijera de uso general en peluquería o manicura, con mangos de plástico de color negro."
"TIJERA DE METAL","4.00","Tijera completamente metálica, usualmente de acero inoxidable, para cortar uñas o cabello."
"ROLLOS DE FORMAS PARA UÑAS","3.50","Rollo de pegatinas desechables que se colocan debajo del borde de la uña para esculpir extensiones de acrílico o gel."
"PARCHES DE HIDROGEL","1.00","Almohadillas de hidrogel que se colocan debajo de los ojos para proteger la piel durante la aplicación de extensiones de pestañas."
"JELLY TIPS COFFIN","6.00","Puntas de uña postiza de gel suave (soft gel) con forma 'coffin' (ataúd), para una aplicación rápida de extensiones."
"JELLY TIPS CURVA C","6.00","Puntas de uña postiza de gel suave (soft gel) con una pronunciada 'Curva C' para una estructura más resistente y estilizada."
"BASES RUBER","12.00","Base de gel (rubber base) de consistencia espesa que aporta flexibilidad y resistencia a uñas débiles o quebradizas."
"PASTILLEROS DE CRISTALES","2.00","Pequeño contenedor con compartimentos para organizar y almacenar decoraciones de uñas como cristales y balines."
"FILTROS","5.00","Filtros de repuesto para aspiradores de polvo de uñas, que capturan los residuos del limado."
"OLAPLEX BAÑO DE CREMA","15.00","Tratamiento capilar intensivo de la marca Olaplex, diseñado para reparar y fortalecer el cabello dañado."
"OLAPLEX ACONDICIONADOS","15.00","Acondicionador de la marca Olaplex que ayuda a reparar, hidratar y desenredar el cabello."
"MONOMERO SUPER CRISTAL","9.00","Líquido acrílico de la marca Super Crystal, conocido por su claridad y calidad para uñas acrílicas."
"CORONAS","2.50","Decoración para uñas en forma de corona, usualmente metálica y con incrustaciones de imitación."
"CALCOMANIAS VARIADAS","1.00","Láminas con diseños variados que se transfieren a las uñas con agua o como pegatina."
"VENTILADOR DE PESTAÑAS","7.00","Pequeño ventilador portátil para acelerar el secado del adhesivo de extensiones de pestañas."
"IMANES","2.00","Imán utilizado para crear el efecto 'ojo de gato' (cat eye) en esmaltes magnéticos."
"SILICONAS ROSAS","3.00","Herramientas de silicona con punta, de color rosa, usadas para esculpir, aplicar pigmentos o para 'nail art' sin dañar el esmalte."
"CERA GRANULADA","8.00","Cera depilatoria en formato de perlas o granos, que se derrite en una olla especial para su aplicación."
"OLLA PRO WAX","15.00","Calentador eléctrico profesional para derretir cera depilatoria en lata o granulada."
"BOCHAS DE TINTE","1.50","Brochas de plástico con cerdas sintéticas para aplicar tinte de cabello de manera uniforme."
"GRAPAS DORADAS","2.00","Decoraciones metálicas doradas en forma de grapa o barra para incrustar en las uñas."
"GRAPAS COLORES","2.00","Decoraciones metálicas de colores en forma de grapa o barra para 'nail art'."
"PINCEL LINER","2.00","Pincel de 'nail art' con cerdas muy finas y largas, ideal para trazar líneas rectas y detalles precisos."
"LAMPARA W 120","25.00","Lámpara de curado UV/LED de 120 vatios de potencia, para un secado rápido de geles de uñas."
"PIGMENTOS","2.50","Polvos de color puro y concentrado para mezclar con acrílico o gel, o para aplicar directamente sobre la uña."
"PEGA TRANSPARENTE","2.00","Adhesivo transparente de uso general para decoraciones de uñas o tips."
"CALCOMANIS FACIAL","3.00","Pegatinas decorativas para la piel del rostro, usualmente con gemas o diseños de fantasía."
"BALINES DORADOS/PLATEADOS","1.50","Pequeñas esferas metálicas en colores dorado y plateado para decoración de uñas."
"DREMEL INALAMBRICO BQ 101","35.00","Torno o pulidor de uñas eléctrico e inalámbrico, modelo BQ-101, para manicura y pedicura profesional."
"LAMPARA JELLY CANGURO","10.00","Lámpara de curado LED pequeña y portátil, con un diseño flexible tipo 'canguro' para curar uñas individuales o tips."
"LIMA TIFFANY 100/180","1.50","Lima de uñas de la marca Tiffany con dos granos: 100 (más abrasivo) y 180 (más suave)."
"TOP COAT TIFFANY","4.00","Capa final (sellador) de la marca Tiffany para proteger el esmalte y dar un acabado brillante."
"BASE COAT TIFFANY","4.00","Capa base de la marca Tiffany para proteger la uña y mejorar la adherencia del esmalte."
"FINISH GEL UV TIFFANY","4.50","Gel de acabado de la marca Tiffany que requiere curado en lámpara UV/LED para un brillo duradero."
"TOP COAT REFLECTIVE GLITER 10 ML","5.00","Top coat con partículas de glitter reflectivo que brillan intensamente con la luz directa o el flash."
"TOP GEL 6 EN 1 REFORZAMIENTO 15 ML","9.00","Gel finalizador multifuncional que sirve como top coat, reforzador de uña, nivelador y más."
"NAIL PREP NIVELADOR TIFFANY","4.00","Preparador de la marca Tiffany que deshidrata la uña y nivela el pH para una mejor adhesión de productos."
"PESTAÑAS CRUZADAS","2.50","Pestañas postizas en tira con un patrón de pelos entrecruzados para un efecto de mayor volumen y naturalidad."
"ESMALTE SEMIPERMANENTE","4.00","Esmalte de uñas que requiere curado en lámpara UV/LED y ofrece una duración de varias semanas."
"LAMPARA MINI HUEVITO","5.00","Lámpara de curado LED muy pequeña y portátil, con forma de huevo, para curar una uña a la vez."
"CARRUSEL DE BALINES MIXTA","2.00","Contenedor giratorio (carrusel) con balines de diferentes colores o tamaños para decoración de uñas."
"REPUJADOR DE METAL CON LANZA","3.00","Herramienta de manicura de metal con un extremo para empujar la cutícula y otro en forma de lanza para limpiar."
"REPUJADOR TRIANGULO","3.00","Herramienta de manicura con una punta en forma de triángulo para facilitar la limpieza debajo de la uña y los bordes."
"WATER COLOR TINTA","2.50","Tintas líquidas de acuarela especiales para 'nail art', que crean efectos de color translúcidos y difuminados."
"GEL SPIDER SANGRIA","4.50","Gel para 'nail art' de alta viscosidad y color sangría, que permite crear líneas finas y rectas como telarañas."
"PINCEL LAINES PLASTICO","1.50","Pincel para delinear (liner) con mango de plástico, de bajo costo."
"PUNTEROS","2.00","Herramienta de 'nail art' con puntas esféricas de diferentes tamaños para crear puntos, círculos y otros diseños."
"NAVAJA ACERO INOX SALOM","3.50","Navaja de acero inoxidable de la marca Salom, utilizada en barbería para perfilar o afeitar."
"HILO TINTURADO","5.00","Hilo pre-entintado utilizado para el diseño de cejas (brow mapping), que marca las líneas guía en la piel."
"ALGODÓN GAZA","2.00","Algodón o gasa en rollo o almohadillas para limpieza en procedimientos de manicura o cosméticos."
"ATOMIZADOR BARBERO","4.00","Botella con rociador para humedecer el cabello durante el corte, de estilo clásico de barbería."
"BIGUDIES PESTAÑAS","3.00","Pequeños rulos o moldes de silicona sobre los que se curvan las pestañas durante un procedimiento de lifting."
"BLEDO ARCOIRIS LARGO DELG","4.00","Brocha larga y delgada con cerdas de colores arcoíris para retirar el polvo de las uñas después del limado."
"BLEDO ARCOIRIS LARGO","5.00","Brocha ancha y larga con cerdas de colores arcoíris para retirar el polvo de las uñas."
"BOLITAS EFERVECENTE","1.50","Pequeñas bombas de baño para manos, que se disuelven en agua para ablandar cutículas y preparar la manicura."
"BUILDER GEL AUTONIVELADOR","12.00","Gel constructor que se nivela por sí mismo, facilitando una aplicación más rápida y uniforme."
"CARTA TINTE CABELLO","10.00","Catálogo de mechas de cabello que muestra los colores de una línea de tintes para el cabello."
"CEPILLO LIMPIADOR PEQUEÑO","1.00","Cepillo pequeño y rígido para limpiar el polvo de las uñas y herramientas."
"CORTACUTICULA M.P","2.00","Cortacutículas de una marca económica o genérica, identificada como 'M.P'."
"CORTACUTICULA M .P.R","2.00","Cortacutículas de una marca económica o genérica, similar al anterior."
"CORTAUÑAS ARCOIRIRS","3.00","Cortauñas con un acabado metálico tornasolado, tipo arcoíris."
"CUADRNO P/ONESTRONE","1.00","Posiblemente un 'Cuaderno para 'one stroke'', una libreta para practicar la técnica de pintura de 'nail art' de un solo trazo."
"DAPPEN SENCILLO","1.00","Vaso pequeño de vidrio (vaso Dappen) para colocar el monómero durante la aplicación de uñas acrílicas."
"DECOLORANTE MAXGLOW","7.00","Polvo decolorante de la marca Maxglow para aclarar el cabello."
"DISPENSADOR DE ACETONA","3.50","Botella con dosificador a presión para humedecer fácilmente un algodón con acetona o removedor."
"DREMEL TORNASOL REC","40.00","Torno de uñas eléctrico y recargable con un acabado metálico tornasolado."
"FINISH PEACOCK","5.00","Gel finalizador con un efecto 'pavo real', que probablemente contiene partículas que cambian de color."
"FINISH GEL PREMUM M/15ML","9.00","Gel finalizador de calidad premium de la marca 'M' en presentación de 15 ml."
"GEL 3 EN 1 M 10ML","6.00","Esmalte en gel 3 en 1 de la marca 'M' en presentación de 10 ml."
"GEL 3 EN 1 M 15ML","8.00","Esmalte en gel 3 en 1 de la marca 'M' en presentación de 15 ml."
"GORROS DE SEGURIDAD","1.50","Gorros desechables para cubrir el cabello y mantener la higiene durante procedimientos estéticos."
"REMOVEDOR PEGA PESTAÑA","4.50","Removedor en gel o crema para disolver de forma segura el adhesivo de las extensiones de pestañas."
"SANITIZANTE","3.00","Líquido o spray antiséptico para desinfectar manos y herramientas antes de un procedimiento."
"TAZA MASCARILLA FACIAL","2.50","Kit que incluye un bol y espátula para mezclar y aplicar mascarillas faciales."
"TINTE CABELLO","6.00","Tubo de tinte para la coloración permanente o semipermanente del cabello."
"UÑAS CURVAS C/500","10.00","Caja con 500 tips de uña postiza con una pronunciada 'Curva C'."
"UÑAS COFFIN","10.00","Caja con tips de uña postiza preformados con el estilo 'coffin' (ataúd)."
"UÑAS JELLYCOFFIN /100","8.00","Caja con 100 puntas de uña de gel suave (Jelly) con forma 'coffin'."
"GUILLOTINA","3.50","Herramienta para cortar tips de uñas postizas a la longitud deseada de forma recta y precisa."
"JELLY BUILDER 10ML","8.00","Gel constructor con consistencia de gelatina en presentación de 10 ml."
"KIT LIFTING","15.00","Conjunto de productos para realizar un levantamiento de pestañas (lifting), que incluye adhesivos, lociones y moldes."
"LAMPARA JELLY MESA","18.00","Lámpara de curado LED de escritorio con un brazo flexible, ideal para sistemas de soft gel."
"LAMPARA SUN X5 PLUS","20.00","Lámpara de curado UV/LED, modelo Sun X5 Plus, de potencia intermedia para uso doméstico o profesional."
"LIMA MAXGLOW 80/80","1.50","Lima de uñas de la marca Maxglow con un grano muy abrasivo (80/80), para rebajar acrílico o gel."
"LIMA SAKURA 100/180","1.00","Lima de uñas de la marca Sakura con grano 100 (abrasivo) y 180 (suave)."
"MOLDE DUAL FORMA U","5.00","Moldes reutilizables para polygel con 'forma de U', que ayudan a esculpir la uña con una sonrisa más cuadrada."
"MONOMERO M EMA 100ML","9.00","Líquido acrílico de la marca 'M' (EMA) en presentación de 100 ml."
"MONOMERO TROPICAL 50ML","5.00","Líquido acrílico con aroma tropical en presentación de 50 ml."
"MOSTRARIO NAT/CLEAR","2.50","Exhibidor de uñas en color natural o transparente para mostrar diseños de 'nail art' o colores de esmalte."
"PAITING GEL NEGRO","4.00","Gel de alta pigmentación y color negro, especial para dibujar y crear diseños de 'nail art' a mano alzada."
"PALETA DEPILAR PEQ","0.50","Paleta de madera o plástico pequeña para aplicar cera depilatoria en áreas chicas."
"PALITO CON ALGODÓN","1.00","Hisopo o bastoncillo de algodón, usado para corregir errores de esmaltado o aplicar productos."
"PALITO DE NARANJA","1.00","Palito de madera de naranjo con un extremo en punta y otro biselado, para empujar cutículas y limpiar."
"PEGA RESINA","2.50","Adhesivo de resina de secado rápido y muy fuerte, para pegar tips y decoraciones pesadas."
"PESTAÑA VOLUMEN RUSO","6.00","Abanicos de pestañas pre-armados para la técnica de volumen ruso, que crea un efecto denso y dramático."
"PINCEL FUSCIA 10","4.00","Pincel para acrílico del número 10, con mango o cerdas de color fucsia."
"PINCEL SILICON","3.00","Pincel con punta de silicona, ideal para aplicar polvos de efecto espejo, pigmentos y para esculpir sin dejar marcas."
"PINZA PARA POLIGEL","2.00","Pinza o clip para mantener el molde dual presionado sobre la uña mientras se cura el polygel."
"POLVO ACRILICO 10Z","15.00","Error de tipeo, probablemente '1oz'. Polvo acrílico en presentación de 1 onza (aprox. 28-30 gramos)."
"POLVO ESPEJO","3.00","Polvo de cromo ultra fino que se frota sobre el esmalte para crear un acabado metálico tipo espejo."
"PUNTAS RUSAS /6","5.00","Set de 6 puntas o fresas para torno, específicas para la técnica de manicura rusa (limpieza profunda de cutícula)."
"PUNTA RUSAS /12","9.00","Set de 12 puntas o fresas para torno, para la técnica de manicura rusa."
